stop_id,stop_name,stop_lat,stop_lon,count
at:43:5068,Tullnerbach-Pressbaum Bahnhof,48.1859965389593,16.0933093340886,72
at:43:5070,Ulrichskirchen Bahnhof,48.4024246610753,16.4882177161953,43
at:43:5072,Untereggendorf Bahnhof,47.8613238861005,16.3214365005225,44
at:43:5090,Untersiebenbrunn Bahnhof,48.2479293263746,16.7476871028965,38
at:43:5094,Untertullnerbach Bahnhof,48.1914344436909,16.1276609105581,38
at:43:5138,Wagram-Grafenegg Bahnhof,48.4342617380725,15.7763837018071,51
at:43:5147,Wampersdorf Bahnhof,47.9303778813237,16.4169633478491,44
at:43:5189,Weikendorf-Dörfles Bahnhof,48.3497842194027,16.7593113026747,39
at:43:5195,Weissenbach-Neuhaus Bahnhof,47.9842620549946,16.0458333713163,33
at:43:5210,Wiener Neustadt Hauptbahnhof,47.8110038155515,16.2333656700552,705
at:43:5223,Wiener Neustadt Nord,47.8345750002659,16.238791494372,30
at:43:5227,Wiener Neustadt Civitas Nova,47.8334533799048,16.2550869336282,44
at:43:5235,Wildungsmauer Bahnhof,48.1080238149913,16.8021968743445,63
at:43:5239,Wilfleinsdorf Bahnhof,48.0219481428964,16.7199830595304,87
at:43:5255,Wittmannsdorf Bahnhof,47.9203131173109,16.2197831429574,35
at:43:5271,Wolfsthal,48.1355966236049,17.0062132585493,71
at:43:5274,Wolkersdorf Bahnhof,48.3787366343606,16.5126159593154,150
at:43:5301,Zeiselmauer-Königstetten Bhf.,48.3265554880381,16.1751278901776,52
at:43:5303,Zellerndorf Bahnhof,48.6957480266331,15.9679224867137,37
at:43:5304,Ziersdorf Bahnhof,48.5283862190731,15.9213178897671,43
at:43:5323,Zöbing Bahnhof,48.4906549850375,15.6938195440322,67
at:43:5759,Tullnerfeld Bahnhof,48.2950036058816,15.9962194181674,91
at:43:6003,Wiener Neustadt Anemonensee,47.8119208068183,16.2095333655642,54
at:43:7032,Bad Erlach Bahnhof,47.7319188516146,16.2117971200805,55
at:43:7033,Brunn an der Pitten Bahnhof,47.7225165390814,16.1878839672139,27
at:43:7034,Pitten Bahnhof,47.7171257590473,16.1795655676818,34
at:43:7035,Sautern-Schiltern Bahnhof,47.7073036778667,16.1558590273305,28
at:43:7036,Seebenstein Bahnhof,47.7034287354609,16.1429592198488,31
at:43:7037,Gleißenfeld Bahnhof,47.6772335852797,16.12915211393,26
at:43:7038,Scheiblingkirchen-Warth,47.6620498577996,16.1310116265683,32
at:43:7039,Petersbaumgarten Bahnhof,47.633908968906,16.1323141837305,26
at:43:7040,Edlitz-Grimmenstein Bahnhof,47.6173380923599,16.1280471861303,56
at:43:7041,Aspang Markt Bahnhof,47.5623629401088,16.0994807600914,54
at:43:7042,Ausschlag-Zöbern Bahnhof,47.5329007736222,16.0832482029051,28
at:43:7057,Lanzenkirchen Bahnhof,47.7508271028915,16.2422949239806,27
at:43:7091,Bad Fischau-Brunn Bahnhof,47.8268678939522,16.1731695628579,35
at:43:7092,Bad Fischau Bahnhof,47.8314935011909,16.171624460569,66
at:43:7093,Feuerwerksanstalt Bahnhof,47.8487861215994,16.1893482211272,59
at:43:7094,Wöllersdorf Bahnhof,47.8614383997844,16.178298943131,66
at:43:7096,Dreistetten Bahnhof,47.8723642523912,16.1107366506029,55
at:43:7097,Oberpiesting Bahnhof,47.8745575822432,16.0977110789814,69
at:43:7098,Wopfing Bahnhof,47.8736959280159,16.077094743208,58
at:43:7099,Waldegg Bahnhof,47.8689475344163,16.0585984315054,65
at:43:7100,Oed/Piesting Bahnhof,47.8787150131668,16.0263938285652,58
at:43:7101,Miesenbach-Waidmannsf,47.8775461460089,16.0052205373156,65
at:43:7102,Pernitz Ortmann Bahnhof,47.89348625712,15.9791693940725,58
at:43:7104,Pernitz-Muggendorf Bahnhof,47.8958714299755,15.9579691533643,66
at:43:7105,Gutenstein Bahnhof,47.8769797782111,15.9109064156227,66
at:43:7106,Wöllersdorf Marchgraben Bf,47.8649701186672,16.1649948937713,54
at:43:7108,Waldegg-Dürnbach Bahnhof,47.8676157367693,16.0511693641047,58
at:43:7109,Markt Piesting Bahnhof,47.8748106527906,16.124930032094,67
at:43:7110,Piesting Harzwerk,47.8764495559384,16.1361140573828,55
at:43:7112,Winzendorf Bahnhof,47.8110701773051,16.1115631006644,26
at:43:7113,Urschendorf Bahnhof,47.7973737275949,16.0898238707857,22
at:43:7114,Willendorf Bahnhof,47.7892084431052,16.0605387925193,22
at:43:7115,Unterhöflein Bahnhof,47.79058450111,16.0331132268914,23
at:43:7116,Grünbach/Schneeberg Bahnhof,47.7975185547631,15.9978723182904,23
at:43:7117,Grünbach/Schneeberg Schule,47.8014830417037,15.9815409464229,23
at:43:7118,Grünbach/Schneeberg Kohlenwerk,47.7982306158013,15.9718660908116,23
at:43:7119,Rothengrub Bahnhof,47.7892024076828,16.0510795325763,23
at:43:7120,Puchberg am Schneeberg Bahnhof,47.7904577604487,15.9108974324699,22
at:43:7161,Hötzelsdorf-Geras Bahnhof,48.7423966766624,15.6702926667378,21
at:43:7162,Irnfritz Bahnhof,48.7484446150944,15.5395518602689,21
at:43:7163,Göpfritz,48.7297416324861,15.394608689156,27
at:43:7164,Allentsteig Bahnhof,48.7155957327989,15.3304599947081,19
at:43:7165,Schwarzenau Bahnhof,48.7461641361324,15.2671916492388,26
at:43:7166,Vitis Bahnhof,48.7530230304962,15.1728505780874,25
at:43:7167,Hirschbach bei Gmünd Bahnhof,48.7492797776022,15.1270005659796,19
at:43:7168,Pürbach-Schrems Bahnhof,48.7635583162729,15.0846719497859,19
